company_name,website,category,employee_band
UmbraPlan Works,umbraplanworks.com,ERP,1001-5000
UmbraQuizSuite,umbraquizsuite.com,LMS,251-500
UmbraRoster App,umbrarosterapp.com,HR,501-1000
UmbraRxSync,umbrarxsync.com,Medical,251-500
UmbraStack Dynamics,umbrastackdynamics.com,MSP Platform,21-50
UmbraUptime Systems,umbrauptimesystems.io,MSP Platform,21-50
UmbraVitalCore,umbravitalcore.com,Medical,51-100
UmbraVitalSystems,umbravitalsystems.com,Medical,21-50
Velo ChainHub,velochainhub.co,ERP,21-50
Velo LessonSphere,velolessonsphere.co,LMS,501-1000
Velo OrderDesk,veloorderdesk.io,ERP,251-500
Velo StockDesk,velostockdesk.com,ERP,101-250
VeloBenefitSync,velobenefitsync.com,HR,51-100
VeloClauseLogic,veloclauselogic.com,Legal,501-1000
VeloClinic Soft,veloclinicsoft.com,Medical,51-100
VeloCultureBase,veloculturebase.com,HR,51-100
VeloDocket App,velodocketapp.com,Legal,5-20
VeloMentor Soft,velomentorsoft.com,LMS,51-100
VeloNode Logic,velonodelogic.com,MSP Platform,51-100
VeloNodePoint,velonodepoint.com,MSP Platform,251-500
VeloOpsLogic,veloopslogic.com,ERP,101-250
VeloPayrollSphere,velopayrollsphere.com,HR,5-20
VeloRx Base,velorxbase.com,Medical,251-500
Vertex CareCloud,vertexcarecloud.com,Medical,101-250
Vertex OpsPlatform,vertexopsplatform.com,ERP,5-20
Vertex OpsSolutions,vertexopssolutions.co,ERP,5-20
Vertex OrderDynamics,vertexorderdynamics.com,ERP,5-20
Vertex PatientDesk,vertexpatientdesk.com,Medical,5-20
Vertex PulseBase,vertexpulsebase.com,Medical,251-500
Vertex StackCore,vertexstackcore.com,MSP Platform,5-20
VertexBatchFlow,vertexbatchflow.com,ERP,5-20
VertexBenefit Dynamics,vertexbenefitdynamics.co,HR,51-100
VertexCare Sync,vertexcaresync.net,Medical,51-100
VertexClinic Core,vertexcliniccore.com,Medical,5-20
VertexCompliSync,vertexcomplisync.com,Legal,51-100
VertexGridSystems,vertexgridsystems.co,MSP Platform,21-50
VertexHealth Flow,vertexhealthflow.com,Medical,5-20
VertexNet Systems,vertexnetsystems.com,MSP Platform,5-20
VertexNetSync,vertexnetsync.io,MSP Platform,51-100
VertexPatient App,vertexpatientapp.io,Medical,5-20
VertexPerformSolutions,vertexperformsolutions.com,HR,21-50
VertexResource Works,vertexresourceworks.com,ERP,51-100
VertexShiftHub,vertexshifthub.com,HR,501-1000
VertexStack Desk,vertexstackdesk.com,MSP Platform,21-50
Vista EndpointSync,vistaendpointsync.com,MSP Platform,21-50
Vista HealthPlatform,vistahealthplatform.com,Medical,21-50
Vista HealthSphere,vistahealthsphere.co,Medical,501-1000
Vista LearnFlow,vistalearnflow.com,LMS,251-500
Vista NetHub,vistanethub.com,MSP Platform,5-20
Vista NetLogic,vistanetlogic.com,MSP Platform,51-100
Vista NodeCore,vistanodecore.net,MSP Platform,251-500
Vista PathApp,vistapathapp.net,LMS,51-100
Vista PlanLogic,vistaplanlogic.com,ERP,21-50
Vista TriageFlow,vistatriageflow.com,Medical,5-20
VistaBatch Hub,vistabatchhub.io,ERP,5-20
VistaBatchPoint,vistabatchpoint.com,ERP,51-100
VistaChartDynamics,vistachartdynamics.com,Medical,51-100
VistaClause Base,vistaclausebase.net,Legal,5-20
VistaFin Works,vistafinworks.io,ERP,101-250
VistaFinBase,vistafinbase.com,ERP,5-20
VistaForge Logic,vistaforgelogic.co,ERP,5-20
VistaLessonSuite,vistalessonsuite.co,LMS,101-250
VistaMed Sphere,vistamedsphere.com,Medical,21-50
VistaMentorApp,vistamentorapp.com,LMS,21-50
VistaNodeSuite,vistanodesuite.com,MSP Platform,21-50
VistaOps Tech,vistaopstech.co,ERP,21-50
VistaOrder Sync,vistaordersync.com,ERP,251-500
VistaPatch Suite,vistapatchsuite.io,MSP Platform,101-250
VistaPatient Dynamics,vistapatientdynamics.com,Medical,51-100
VistaRoster Desk,vistarosterdesk.com,HR,51-100
VistaTeam Platform,vistateamplatform.com,HR,5-20
VistaVitalSoft,vistavitalsoft.com,Medical,101-250
Willow CohortLogic,willowcohortlogic.com,LMS,21-50
Willow MedBase,willowmedbase.com,Medical,5-20
Willow PerformDynamics,willowperformdynamics.com,HR,101-250
Willow PlanLogic,willowplanlogic.com,ERP,21-50
WillowBenefitCore,willowbenefitcore.com,HR,5-20
WillowChain Labs,willowchainlabs.io,ERP,1001-5000
WillowLessonSuite,willowlessonsuite.com,LMS,5-20
WillowPatientCloud,willowpatientcloud.com,Medical,251-500
WillowPayroll Flow,willowpayrollflow.com,HR,5-20
WillowPeoplePoint,willowpeoplepoint.io,HR,51-100
WillowPerform Sphere,willowperformsphere.com,HR,101-250
WillowPulseSolutions,willowpulsesolutions.io,Medical,501-1000
WillowRemoteSystems,willowremotesystems.net,MSP Platform,51-100
WillowRoster Labs,willowrosterlabs.com,HR,101-250
WillowRoster Suite,willowrostersuite.io,HR,5-20
WillowRosterSolutions,willowrostersolutions.com,HR,51-100
WillowStack Point,willowstackpoint.io,MSP Platform,5-20
WillowStockSolutions,willowstocksolutions.com,ERP,5-20
WillowTalentFlow’s,willowtalentflow.com,HR,51-100
WillowTeam Labs,willowteamlabs.com,HR,21-50
Willow’s TalentSync,willowtalentsync.com,HR,21-50
Xenon LearnFlow,xenonlearnflow.com,LMS,251-500
Xenon OpsLogic,xenonopslogic.com,ERP,251-500
Xenon StockCloud,xenonstockcloud.com,ERP,251-500
Xenon StockTech,xenonstocktech.com,ERP,21-50
XenonChainTech,xenonchaintech.io,ERP,5-20
XenonCounsel Systems,xenoncounselsystems.io,Legal,21-50
XenonEndpointPlatform,xenonendpointplatform.co,MSP Platform,5-20
XenonForgePoint,xenonforgepoint.com,ERP,51-100
XenonHealthCloud,xenonhealthcloud.com,Medical,51-100
XenonMed Soft,xenonmedsoft.co,Medical,21-50
XenonNet Hub,xenonnethub.net,MSP Platform,51-100
XenonNodeTech,xenonnodetech.com,MSP Platform,1001-5000
XenonOps Flow,xenonopsflow.com,ERP,5-20
XenonOrderCloud,xenonordercloud.com,ERP,5-20
XenonPeople Base,xenonpeoplebase.net,HR,501-1000
XenonTalentFlow,xenontalentflow.com,HR,51-100
Zen LedgerWorks,zenledgerworks.com,ERP,51-100
Zen MatterPoint,zenmatterpoint.net,Legal,21-50
Zen MedSuite,zenmedsuite.com,Medical,21-50
Zen ShiftLogic,zenshiftlogic.io,HR,501-1000
ZenBenefitLogic,zenbenefitlogic.com,HR,5-20
ZenChart Soft,zenchartsoft.io,Medical,1001-5000
ZenClauseDynamics,zenclausedynamics.com,Legal,21-50
ZenCompli Sphere,zencomplisphere.com,Legal,21-50
ZenDocket Cloud,zendocketcloud.com,Legal,21-50
ZenForge Cloud,zenforgecloud.com,ERP,5-20
ZenForgeDynamics,zenforgedynamics.io,ERP,251-500
ZenGrid Solutions,zengridsolutions.com,MSP Platform,251-500
ZenLedgerApp,zenledgerapp.com,ERP,21-50
ZenMedCore,zenmedcore.io,Medical,21-50
ZenMonitor Flow,zenmonitorflow.io,MSP Platform,21-50
ZenNodeCore,zennodecore.com,MSP Platform,5-20
ZenOpsSoft,zenopssoft.com,ERP,5-20
ZenShiftSystems,zenshiftsystems.com,HR,501-1000
ZenStock Labs,zenstocklabs.com,ERP,251-500
ZenVerdict Systems,zenverdictsystems.com,Legal,51-100
Zephyr PulseWorks,zephyrpulseworks.com,Medical,51-100
Zephyr ResourceDynamics,zephyrresourcedynamics.com,ERP,251-500
Zephyr UptimeSoft,zephyruptimesoft.net,MSP Platform,51-100
ZephyrBatchSphere,zephyrbatchsphere.com,ERP,51-100
ZephyrBenefitSystems,zephyrbenefitsystems.com,HR,5-20
ZephyrBrief Flow,zephyrbriefflow.com,Legal,5-20
ZephyrCareLogic,zephyrcarelogic.com,Medical,251-500
ZephyrClause Works,zephyrclauseworks.com,Legal,5-20
ZephyrCompliDynamics,zephyrcomplidynamics.net,Legal,5-20
ZephyrCultureTech,zephyrculturetech.com,HR,51-100
ZephyrEndpoint Works,zephyrendpointworks.com,MSP Platform,101-250
ZephyrGrid App,zephyrgridapp.io,MSP Platform,51-100
ZephyrMonitor Soft,zephyrmonitorsoft.io,MSP Platform,51-100
ZephyrOnboardHub,zephyronboardhub.co,HR,5-20
ZephyrOrderBase,zephyrorderbase.co,ERP,251-500
ZephyrPerform Sphere,zephyrperformsphere.com,HR,5-20
ZephyrStock Sync,zephyrstocksync.com,ERP,5-20
ZephyrTalentLogic,zephyrtalentlogic.com,HR,21-50
ZephyrTriage’s Systems,zephyrtriagesystems.net,Medical,5-20
ZephyrUptimeSoft,zephyruptimesoft.io,MSP Platform,251-500
